"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity"
"360781","nwis_05406500",2011-11-21,4.32601627613577,3.86332354760372,4.79967653275918,1.00608022645627,-4.80874019937354,-5.59855833081055,-4.03149758092087,8.57773766334164,7.24758197851324,9.9033163387519,7.02465277777778,1.30424644255208,93.8824583333333,0.319269635108592
"360782","nwis_05406500",2011-11-22,2.03751107870259,1.56317839915915,2.51753516424258,1.00053698896682,-4.66008285967901,-5.92303995729791,-3.47395599396289,9.06251217777656,6.70522603373141,11.6376065962665,6.89340277777778,1.28232055060417,51.06325,0.317470501722652
"360783","nwis_05406500",2011-11-24,3.49831801151194,3.05852087070149,3.91785476310851,1.00164236952959,-4.19086777159529,-4.94463856400127,-3.35296687065641,5.79501088870361,4.53828256544991,7.13260774759367,7.91736111111111,1.2595097571875,90.668625,0.315604758845579
"360784","nwis_05406500",2011-11-25,5.55457640546651,4.97225856233343,6.1234592400328,1.00598429306151,-6.76395485063342,-7.65106377190204,-5.87903624647461,11.8336191456855,10.3258455556892,13.3285796425653,8.65451388888889,1.256560085625,88.01975,0.31535979277512
"360785","nwis_05406500",2011-11-28,4.4424707578167,3.93987302289332,4.91288848343978,1.00208698383965,-4.27276795580678,-5.06533340874256,-3.50921581420655,8.66473776056294,7.26993988022115,9.99671109985315,6.296875,1.27927255665625,87.9878333333333,0.317228099851019
"360786","nwis_05406500",2011-11-29,4.3720591977261,3.90017562208703,4.84257416288197,1.00258704251397,-4.11411503512215,-4.84693418712043,-3.36156306002062,9.19584724780718,7.80335793187449,10.6291741412439,5.42951388888889,1.24869429479167,88.9656666666667,0.31472130938603
"360787","nwis_05406500",2011-11-30,4.25828244404898,3.76469644648237,4.71886557586135,0.999395414955138,-4.27028083968672,-5.0051759175003,-3.50816315781171,9.08245758095572,7.6034714029489,10.4948020718842,5.25763888888889,1.22794827146875,87.1552083333333,0.312972374958392
"360788","nwis_05406500",2011-12-01,4.53159323798344,4.00717920321072,5.03680747207343,1.00124234012556,-4.70633826437004,-5.47680108341426,-3.92102776515844,9.87922532952166,8.38415843949128,11.3513207340129,6.26041666666667,1.22853820578125,76.8480825,0.313016147321792
"360789","nwis_05406500",2011-12-02,4.52919665185847,4.06720922802374,5.01621629562962,1.00303899972709,-4.13122416888216,-4.87848605068908,-3.39976105966256,9.35929725183321,8.04705848845041,10.6500701256394,5.36180555555556,1.23129123257292,90.9110833333333,0.313245122403283
"360790","nwis_05406500",2011-12-03,1.93422361747617,1.49198931228208,2.36204026273446,1.00554867279909,-4.50316144652413,-5.51781908233918,-3.50555016329745,6.85323370953951,4.74970905043696,8.84334440102938,6.86041666666667,1.41235190531771,25.833125,0.330627586906797
"360791","nwis_05406500",2011-12-04,0.383303259396366,-0.0422257606952828,0.805092432699847,0.998586628935112,-4.25417900784745,-6.03739731033462,-2.42543222056351,6.95987137042236,4.20044557905984,9.66082470759976,6.67673611111111,1.79576004725,36.9203333333333,0.357737928847108
"360792","nwis_05406500",2011-12-05,1.56593940279703,1.15930503533498,1.99556955413192,1.00335474320832,-3.82218873044233,-4.9744955820092,-2.70183063554271,8.29389383644467,5.85688743772334,10.7517609413649,5.89618055555556,1.54670944498958,60.6901666666667,0.337753875374443
"360793","nwis_05406500",2011-12-07,3.81310608867908,3.29586248901821,4.3044762763579,1.00177809643243,-3.99402171044471,-4.76197814868058,-3.23064242289669,10.3716513904747,8.58799071572678,12.03746760386,4.53263888888889,1.3828060285,71.7173333333333,0.325500425648092
"360794","nwis_05406500",2011-12-08,3.82621626543874,3.33831684745717,4.30842392885652,0.999453914897669,-3.90373549566581,-4.69233329266393,-3.11492042735188,10.0827446464852,8.43263913390114,11.7432500112344,4.55729166666667,1.31751996458333,67.8534583333333,0.320337212452103
"360795","nwis_05406500",2011-12-09,3.51998447111873,3.02958859209881,3.99681645904837,0.999022299553712,-3.30394267300057,-4.06620362584683,-2.50421317606517,9.94758979946405,8.18282901737331,11.6986810414573,3.21041666666667,1.280157458125,88.034375,0.31732127102114
"360796","nwis_05406500",2011-12-10,3.17840841355116,2.71174389682333,3.66407603580666,0.999467564298588,-3.375182368685,-4.13004653814358,-2.6334404768117,9.73334663459843,7.87441411143793,11.5080420157421,2.775,1.22794827146875,74.1417083333333,0.312969682370164
"360797","nwis_05406500",2011-12-11,3.62995516382409,3.13517005256914,4.09369022397206,1.00113936911729,-3.95305680732294,-4.72281036508156,-3.21770957438976,9.52479355555172,7.87428882091809,11.139225407175,4.73680555555556,1.21949254632292,83.165375,0.312246255547163
"360798","nwis_05406500",2011-12-15,1.4697474892911,1.08081360873049,1.89108313870255,1.00068056830779,-3.08783745599258,-4.23683385389353,-1.87470630735982,7.28681406992727,4.92780765647207,9.53841870864556,6.15798611111111,1.46146393683333,59.8236666666667,0.33217480685083
"360799","nwis_05406500",2011-12-16,3.72347463122963,3.26889566432492,4.19860794346451,1.00311606563474,-3.46307120804895,-4.19967419862312,-2.72397828203208,9.88135575586858,8.26580690283936,11.4487024081094,4.40069444444444,1.35635730682292,77.9430833333333,0.323427266459498
"360800","nwis_05406500",2011-12-17,2.81131347312369,2.35507184474139,3.27500943187184,1.00114073228292,-3.12013895338099,-3.90580365382285,-2.34867473860066,9.79392125269618,7.85100073940713,11.6559680616383,4.69201388888889,1.31437364825,58.220625,0.320077440939955
"360801","nwis_05406500",2011-12-19,3.51367247496077,3.03794417487128,4.00209337676281,1.00099780176805,-3.95113259168767,-4.76192772247172,-3.14239022500472,10.4497922327977,8.70346616251793,12.3531903675969,5.81875,1.28861318327083,80.7795,0.318001911730104
"360802","nwis_05406500",2011-12-20,4.25771215702661,3.76540096527011,4.72766548910513,1.00178679572796,-4.20640694450398,-4.95208005342446,-3.47992491212996,10.3458576634638,8.85224487543344,11.865190506566,5.54131944444444,1.2913662100625,81.8980833333333,0.318217046005887
"360803","nwis_05406500",2011-12-21,2.92974760504504,2.51831471598896,3.33589505700664,1.00284498730021,-3.54918831919042,-4.30942655348553,-2.75654067965696,8.07830047368071,6.4190408820916,9.72399775119847,6.28402777777778,1.29411923685417,53.3094166666667,0.318434703122242
"360804","nwis_05406500",2011-12-22,3.97082677428759,3.53810983816792,4.44199323735623,1.00392734211707,-3.58800611171067,-4.36443332489375,-2.86381217814005,9.5346355443796,7.96904402212194,11.0090699512757,5.534375,1.29362762492708,50.247625,0.318410679178556
"360805","nwis_05406500",2011-12-23,2.80372247684434,2.41557959684218,3.21291516119848,0.999272811260391,-2.29384857222849,-2.9613426920252,-1.59367406233588,8.0366089018323,6.43404437189796,9.6938488994514,3.64861111111111,1.25941143480208,58.0709583333333,0.31560330343631
"360806","nwis_05406500",2011-12-24,3.55860593509111,3.12039884109762,4.00603199227451,1.0004912033789,-3.02889213891938,-3.77265196458617,-2.33460004463467,9.23373608567086,7.7153758922534,10.7600959448301,4.31875,1.24741610378125,82.0782083333333,0.314595283588163
"360807","nwis_05406500",2011-12-25,3.73416925867569,3.25360782421225,4.17267892975226,1.00060968352505,-3.07003675171347,-3.81331907198963,-2.33467993206496,9.3126730730169,7.86327339616042,10.8159337267252,5.21180555555556,1.26039465865625,81.4925833333333,0.315677191082432
"360808","nwis_05406500",2011-12-26,3.68768316424003,3.21696373367074,4.14995055741693,1.00158534762598,-3.16301852640694,-3.87475360620897,-2.42293811589946,9.19950353417461,7.65035454514253,10.802593292648,5.01388888888889,1.24977584103125,83.9135416666667,0.314795210818236
"360809","nwis_05406500",2011-12-27,3.12505107124036,2.67142327284423,3.55496282615001,0.998809643261983,-2.57361528054692,-3.30216387351393,-1.88198500811506,7.8843370883731,6.12846894793492,9.64796329727882,5.09548611111111,1.24879261717708,56.5123333333333,0.314724302921075
"360810","nwis_05406500",2011-12-28,3.63117117900789,3.20185201435466,4.08327239735079,0.998855790768509,-2.79995825639206,-3.53700543440307,-2.09580411956271,7.69506566518741,6.24505555710645,9.1353244512921,4.02430555555556,1.23394593697917,34.976875,0.313463789217819
"360811","nwis_05406500",2011-12-29,3.99996854659487,3.50311469156858,4.48754395822638,1.00202668720016,-3.01390501497276,-3.72286274859537,-2.29787230382037,9.72380938177653,8.16614216188641,11.2365153360622,5.44479166666667,1.25508524984375,71.7103333333333,0.315237496835832
"360812","nwis_05406500",2011-12-30,2.08501522691175,1.66354669825728,2.54478994599374,1.00134589037989,-3.41468403033603,-4.36877267045119,-2.54231331872568,9.75613228357092,7.4006705917209,12.0292778639418,5.26284722222222,1.29352930254167,43.8735416666667,0.318370426544803
"360813","nwis_05406500",2011-12-31,2.57736006911138,2.09659435150648,3.02042642431362,1.00023445081702,-2.99796890543532,-3.75963527076576,-2.22059475031848,8.74851055859165,6.68373390652758,10.8710217421392,5.07291666666667,1.27238998967708,77.03975,0.316672665899881
"360814","nwis_05406500",2012-01-01,2.77596002925432,2.32211644977715,3.24667465946979,0.999134652551187,-2.31125243646963,-3.06187821231723,-1.51783301428336,8.95876818006731,6.9823077291103,10.9800842423987,4.51006944444444,1.30365650823958,64.6920833333333,0.319195813214645
